QR code,ent,name,FPhilm,Trial,test,plot,geometry,FP2,Ht,Pod,Mat,Lod,Yld,oil ,protein,notes,rep,loc,locc,rng,row,run,field,Sds/env,,source,,,parents,trait,0,2.5.7,geno,"1,2,3",Reg tests,Variety,
2441BBLV920,10,LD21-5991,PLtbl,2441B,2441BBLV,920,"POLYGON ((11 23, 12 23, 12 24, 11 24, 11 23))",,,,-9,1,48.3,22.1,31.8,,1,Belleville,BLV,,,,,800,,2341B-14,,,U14-910097 x K15-1310,Rhg1a+Rhg4 437654,,,RR.S,SS,24 SP 4,,10
2441BBLV921,11,LD21-7183,WLtbl,2441B,2441BBLV,921,"POLYGON ((2 24, 3 24, 3 25, 2 25, 2 24))",,,,-9,1,45.3,22.9,31.6,,1,Belleville,BLV,,,,,800,,2341B-15,,,LD15-456 x LD15-8459,Rhg1 88788,,,RSSS,SS,24 PT 4,,11
2441BBLV922,24,LD22-11277,PLtbl,2441B,2441BBLV,922,"POLYGON ((3 24, 4 24, 4 25, 3 25, 3 24))",,,,-9,1,37.2,22.3,32.3,,1,Belleville,BLV,,,,,800,,2384B-33,,,LDX20-381-1-4,"HOLL, Rhg1 88788",,,RSSS,SS,,,24
2441BBLV923,3,LD16-2955,PLtbl,2441B,2441BBLV,923,"POLYGON ((4 24, 5 24, 5 25, 4 25, 4 24))",,,,-9,1,42.7,23.3,31.3,,1,Belleville,BLV,,,,,800,,2341B-3,23 INC Demo,,LD07-3395 x LD10-10219,SCN R,11,106,,SS,,Illini 4300N,3
2441BBLV924,4,LD19-4657,WGbf,2441B,2441BBLV,924,"POLYGON ((5 24, 6 24, 6 25, 5 25, 5 24))",,,,-9,1.5,42.4,23.2,30.4,,1,Belleville,BLV,,,,,800,,2341B-4,23 INC Demo,,LD13-3483 x LG11-6760,SCN,53,62,RSSS,SSH,"24 SU, UT 4",Illini 4302N,4
2441BBLV925,25,LD22-11287,WLtbl,2441B,2441BBLV,925,"POLYGON ((6 24, 7 24, 7 25, 6 25, 6 24))",,,,-9,1.5,41.2,22.2,32.7,,1,Belleville,BLV,,,,,800,,2384B-35,,,LDX20-382-1-1,"HOLL, Rhg1 88788",,,RSSS,SS,,,25
2441BBLV926,9,LD21-5922,PLtbl,2441B,2441BBLV,926,"POLYGON ((2 25, 3 25, 3 26, 2 26, 2 25))",,,,-9,1,51.5,22,31.8,,1,Belleville,BLV,,,,,800,,2341B-11,,,LD13-8769 x LD14-3702,"rhg1 88788, SCN soja",,,RSRR,SS,24 SP 4,,9
2441BBLV927,27,LD22-3014001,PLtbl,2441B,2441BBLV,927,"POLYGON ((3 25, 4 25, 4 26, 3 26, 3 25))",,,,-9,1,49.2,21.6,32.4,,1,Belleville,BLV,,,,,800,,23HOLL3B-21,,,LD17-12352  x  K17-6388,"HOLL, Rhg1 88788",,,RSSS,SS,,,27
2441BBLV928,18,LD22-6446,PLtbl,2441B,2441BBLV,928,"POLYGON ((4 25, 5 25, 5 26, 4 26, 4 25))",,,,-9,1,49.3,22.8,30.7,,1,Belleville,BLV,,,,,800,,23GS10-38,,,20506067GDM x LD15-5782791,Rhg1 88788,,,RSSS,SS,,,18
2441BBLV929,2,LD00-2817P,PGibl,2441B,2441BBLV,929,"POLYGON ((5 25, 6 25, 6 26, 5 26, 5 25))",,,,-9,1.5,48.6,22.4,32,,1,Belleville,BLV,,,,,800,,2341B-2,23 INC,,Ina x Dwight,"SCN HR,HR",2,2,,,"24 SU, UT IV",JGL 420C,2
2441BBLV930,12,LD21-9624,WMbl/gr,2441B,2441BBLV,930,"POLYGON ((6 25, 7 25, 7 26, 6 26, 6 25))",,,,-9,1,42.1,22.5,32.5,,1,Belleville,BLV,,,,,800,,2341B-16,,,LDX17-345-1-5(SA13-1310 x LDX16-206-1-4) x U14-910097 (X) LD16-10150(LD10-10198 x KB13-15F314-224) x LD11-2170,"HOLL, Rhg1 88788",,,RSSS,SS,"24 PT 4TM, MSMC",,12
2441BBLV931,18,LD22-6446,PLtbl,2441B,2441BBLV,931,"POLYGON ((7 24, 8 24, 8 25, 7 25, 7 24))",,,,-9,1,51.3,22.5,30.4,,2,Belleville,BLV,,,,,800,,23GS10-38,,,20506067GDM x LD15-5782791,Rhg1 88788,,,RSSS,SS,,,18
2441BBLV932,28,LD22-3014002,PLtbl,2441B,2441BBLV,932,"POLYGON ((8 24, 9 24, 9 25, 8 25, 8 24))",,,,-9,1,37.7,23.1,30.6,,2,Belleville,BLV,,,,,800,,23HOLL3B-22,,,LD17-12352  x  K17-6388,"HOLL, Rhg1 88788",,,RSSS,SS,,,28
2441BBLV933,25,LD22-11287,WLtbl,2441B,2441BBLV,933,"POLYGON ((9 24, 10 24, 10 25, 9 25, 9 24))",,,,-9,1,42.2,21.6,33.6,,2,Belleville,BLV,,,,,800,,2384B-35,,,LDX20-382-1-1,"HOLL, Rhg1 88788",,,RSSS,SS,,,25
2441BBLV934,1,LD15-3818,PLtbl,2441B,2441BBLV,934,"POLYGON ((10 24, 11 24, 11 25, 10 25, 10 24))",,,,-9,1,43.1,22,33,,2,Belleville,BLV,,,,,800,,2341B-1,23 INC,,LD09-3913 x BN09002129,SCN HR,26,46,,SS,"24 SU, UT IV",Illini 4218N,1
2441BBLV935,20,LD22-10772,PLtbl,2441B,2441BBLV,935,"POLYGON ((11 24, 12 24, 12 25, 11 25, 11 24))",,,,-9,1.5,50.3,23.7,29.3,,2,Belleville,BLV,,,,,800,,2359A-43,,,20506078GDM x LD11-2170,0,,,SSSS,SS,,,20
2441BBLV936,4,LD19-4657,WGbf,2441B,2441BBLV,936,"POLYGON ((7 25, 8 25, 8 26, 7 26, 7 25))",,,,-9,1,36,21.3,31.9,,2,Belleville,BLV,,,,,800,,2341B-4,23 INC Demo,,LD13-3483 x LG11-6760,SCN,53,62,RSSS,SSH,"24 SU, UT 4",Illini 4302N,4
2441BBLV937,2,LD00-2817P,PGibl,2441B,2441BBLV,937,"POLYGON ((8 25, 9 25, 9 26, 8 26, 8 25))",,,,-9,1,38.1,22,31.7,,2,Belleville,BLV,,,,,800,,2341B-2,23 INC,,Ina x Dwight,"SCN HR,HR",2,2,,,"24 SU, UT IV",JGL 420C,2
2441BBLV938,30,LD22-3014005,PLtbl,2441B,2441BBLV,938,"POLYGON ((9 25, 10 25, 10 26, 9 26, 9 25))",,,,-9,1,43.1,22.3,31.8,,2,Belleville,BLV,,,,,800,,23HOLL3B-25,,,LD17-12352  x  K17-6388,"HOLL, Rhg1 88788",,,RSSS,SS,,,30
2441BBLV939,14,LD21-9676,WMbl,2441B,2441BBLV,939,"POLYGON ((10 25, 11 25, 11 26, 10 26, 10 25))",,,,-9,1,35.7,21.6,33.9,,2,Belleville,BLV,,,,,800,,2341B-18,,,LDX17-345-1-5(SA13-1310 x LDX16-206-1-4) x U14-910097 (X) LD16-10150(LD10-10198 x KB13-15F314-224) x LD11-2170,"HOLL, Rhg1 88788",,,RSSS,SS,24 MSMC,,14
2441BBLV940,6,LD19-10244,WLtbl,2441B,2441BBLV,940,"POLYGON ((11 25, 12 25, 12 26, 11 26, 11 25))",,,,-9,1,43.2,21.7,32,,2,Belleville,BLV,,,,,800,,2341B-6,23 INC Demo,,LG12-2177 x LD13-8769,soja scn,11,39,HSRR,SSS,"24 SU, UT 4",Illini 4599N,6
2441BBLV941,13,LD21-9625,PTbl,2441B,2441BBLV,941,"POLYGON ((2 26, 3 26, 3 27, 2 27, 2 26))",,,,-9,1,42.2,23,31.4,,2,Belleville,BLV,,,,,800,,2341B-17,,,LDX17-345-1-5(SA13-1310 x LDX16-206-1-4) x U14-910097 (X) LD16-10150(LD10-10198 x KB13-15F314-224) x LD11-2170,"HOLL, Rhg1 88788",,,RSSS,SS,24 MSMC,,13
2441BBLV942,26,LD22-11297,WLtbl,2441B,2441BBLV,942,"POLYGON ((3 26, 4 26, 4 27, 3 27, 3 26))",,,,-9,1,43.4,22.4,32.8,,2,Belleville,BLV,,,,,800,,2384B-36,,,LDX20-382-1-4,"HOLL, Rhg1 88788",,,RSSS,SS,,,26
2441BBLV943,24,LD22-11277,PLtbl,2441B,2441BBLV,943,"POLYGON ((4 26, 5 26, 5 27, 4 27, 4 26))",,,,-9,1,43,22,33,,2,Belleville,BLV,,,,,800,,2384B-33,,,LDX20-381-1-4,"HOLL, Rhg1 88788",,,RSSS,SS,,,24
2441BBLV944,10,LD21-5991,PLtbl,2441B,2441BBLV,944,"POLYGON ((5 26, 6 26, 6 27, 5 27, 5 26))",,,,-9,1.5,45.6,23.5,30.2,,2,Belleville,BLV,,,,,800,,2341B-14,,,U14-910097 x K15-1310,Rhg1a+Rhg4 437654,,,RR.S,SS,24 SP 4,,10
2441BBLV945,22,LD22-10866,PLtbl,2441B,2441BBLV,945,"POLYGON ((6 26, 7 26, 7 27, 6 27, 6 26))",,,,-9,1.5,50.3,22.3,31.9,,2,Belleville,BLV,,,,,800,,2359A-57,,,20506078GDM x LD15-5776793,Rhg1 88788,,,RSSS,SS,,,22
2441BBLV946,8,LD21-2459,PLtbl,2441B,2441BBLV,946,"POLYGON ((2 27, 3 27, 3 28, 2 28, 2 27))",,,,-9,1,41.9,23,31.1,,2,Belleville,BLV,,,,,800,,2341B-9,,,U14-211226 x SA13-1310,Rhg1 88788,,,RSSS,SS,24 PT 4,,8
2441BBLV947,3,LD16-2955,PLtbl,2441B,2441BBLV,947,"POLYGON ((3 27, 4 27, 4 28, 3 28, 3 27))",,,,-9,1,3.6,0,0,,2,Belleville,BLV,,,,,800,,2341B-3,23 INC Demo,,LD07-3395 x LD10-10219,SCN R,11,106,,SS,,Illini 4300N,3
2441BBLV948,11,LD21-7183,WLtbl,2441B,2441BBLV,948,"POLYGON ((4 27, 5 27, 5 28, 4 28, 4 27))",,,,-9,1.5,45.2,22.9,31.3,,2,Belleville,BLV,,,,,800,,2341B-15,,,LD15-456 x LD15-8459,Rhg1 88788,,,RSSS,SS,24 PT 4,,11
2441BBLV949,15,LD22-2372,PLtbr,2441B,2441BBLV,949,"POLYGON ((5 27, 6 27, 6 28, 5 28, 5 27))",,,,-9,1.5,41.6,21.7,33.7,,2,Belleville,BLV,,,,,800,,2358B-5,,,20506078GDM x LD11-2170,0,,,SSSS,SS,,,15
2441BBLV950,27,LD22-3014001,PLtbl,2441B,2441BBLV,950,"POLYGON ((6 27, 7 27, 7 28, 6 28, 6 27))",,,,-9,2,42.2,21.7,32.8,,2,Belleville,BLV,,,,,800,,23HOLL3B-21,,,LD17-12352  x  K17-6388,"HOLL, Rhg1 88788",,,RSSS,SS,,,27
2441BBLV951,9,LD21-5922,PLtbl,2441B,2441BBLV,951,"POLYGON ((7 26, 8 26, 8 27, 7 27, 7 26))",,,,-9,1,45.1,21.3,32.3,,2,Belleville,BLV,,,,,800,,2341B-11,,,LD13-8769 x LD14-3702,"rhg1 88788, SCN soja",,,RSRR,SS,24 SP 4,,9
2441BBLV952,23,LD22-10880,PLtbl,2441B,2441BBLV,952,"POLYGON ((8 26, 9 26, 9 27, 8 27, 8 26))",,,,-9,1.5,36.3,23,29.8,,2,Belleville,BLV,,,,,800,,2359A-59,,,20506078GDM x LD15-5776793,Rhg1 88788,,,RSSS,SS,24 SP 4,,23
2441BBLV953,5,LD19-10076,PGibl,2441B,2441BBLV,953,"POLYGON ((9 26, 10 26, 10 27, 9 27, 9 26))",,,,-9,1,41.1,22.1,32.9,,2,Belleville,BLV,,,,,800,,2341B-5,23 INC Demo,,LD12-459 x LD13-8769,scn soja,3,45,RSRR,SSS,"24 SU, UT 4",Illini 4221N,5
2441BBLV954,7,LD19-12943,WGbf,2441B,2441BBLV,954,"POLYGON ((10 26, 11 26, 11 27, 10 27, 10 26))",,,,-9,1,45.8,21.3,33.7,,2,Belleville,BLV,,,,,800,,2341B-7,23 INC Demo,,(LD12-1843 x LD16-10275) x (LD13-3483 x LDXGL15-012-1),"HOLL,SCN",4,na,RSSS,SSS,"24 UT 4TM, MSMC",23PR INC,7
2441BBLV955,16,LD22-5660,WLtbl,2441B,2441BBLV,955,"POLYGON ((11 26, 12 26, 12 27, 11 27, 11 26))",,,,-9,1,47.8,21.9,32.7,,2,Belleville,BLV,,,,,800,,2358B-24,,,LD15-456 x 20506067GDM,Rhg1 88788,,,RSSS,SS,24 SP 4,,16
2441BBLV956,12,LD21-9624,WMbl/gr,2441B,2441BBLV,956,"POLYGON ((7 27, 8 27, 8 28, 7 28, 7 27))",,,,-9,1,45.7,22.7,32.3,,2,Belleville,BLV,,,,,800,,2341B-16,,,LDX17-345-1-5(SA13-1310 x LDX16-206-1-4) x U14-910097 (X) LD16-10150(LD10-10198 x KB13-15F314-224) x LD11-2170,"HOLL, Rhg1 88788",,,RSSS,SS,"24 PT 4TM, MSMC",,12
2441BBLV957,19,LD22-10268,PLtbl/br,2441B,2441BBLV,957,"POLYGON ((8 27, 9 27, 9 28, 8 28, 8 27))",,,,-9,1,51.6,22.6,31.3,,2,Belleville,BLV,,,,,800,,2359A-20,,,U14-910097 x 20506064GDM,Het Rhg1a+Rhg4 437654,,,HRSS,SS,,,19
2441BBLV958,17,LD22-6392,PLtbl,2441B,2441BBLV,958,"POLYGON ((9 27, 10 27, 10 28, 9 28, 9 27))",,,,-9,1,38.8,21.3,32.5,,2,Belleville,BLV,,,,,800,,23GS10-18,,,20506067GDM x LD15-5782791,Rhg1 88788,,,RSSS,SS,,,17
2441BBLV959,29,LD22-3014003,PLtbl,2441B,2441BBLV,959,"POLYGON ((10 27, 11 27, 11 28, 10 28, 10 27))",,,,-9,1,42.5,21.4,32.3,,2,Belleville,BLV,,,,,800,,23HOLL3B-23,,,LD17-12352  x  K17-6388,"HOLL, Rhg1 88788",,,RSSS,SS,,,29
2441BBLV960,21,LD22-10859,PLtbl,2441B,2441BBLV,960,"POLYGON ((11 27, 12 27, 12 28, 11 28, 11 27))",,,,-9,1.5,43.7,21.6,32.9,,2,Belleville,BLV,,,,,800,,2359A-55,,,20506078GDM x LD15-5776793,Rhg1 88788,,,RSSS,SS,,,21
2421BD801,7,LD17-6036a,WGbf,2421B,2421BD,801,"POLYGON ((2 24, 3 24, 3 25, 2 25, 2 24))",,,,-9,1.5,66.3,20.4,32.3,,1,Dekalb,D,,,,,800,,2321B-7,23 INC Demo,,U11-614119 x LD14-8003,"SCN, Rag1 +2",10,68,RSS,RRS,,Illini 2681Na,7
2421BD802,4,LD02-4485,PGbf,2421B,2421BD,802,"POLYGON ((3 24, 4 24, 4 25, 3 25, 3 24))",,,,-9,4,50.6,19.7,32.9,,1,Dekalb,D,,,,,800,,2321B-4,23 INC,,M90-184111 x IA3010,,6,,,,,,4
2421BD803,2,BR22DC6,MLtbr,2421B,2421BD,803,"POLYGON ((4 24, 5 24, 5 25, 4 25, 4 24))",,,,-9,3,68.7,19,35.2,,1,Dekalb,D,,,,,800,,2321B-2,,,,,,,,,,,2
2421BD804,8,LD18-4231,MLtbl/g,2421B,2421BD,804,"POLYGON ((2 25, 3 25, 3 26, 2 26, 2 25))",,,,-9,2.5,60,19.9,33.4,,1,Dekalb,D,,,,,800,,2321B-8,23 INC Demo,,U11-932025 x LD10-10198,SCN,SxR,74,RSS,SSS,,Illini 2586N,8
2421BD805,22,LD22-2020301,PLtbr,2421B,2421BD,805,"POLYGON ((3 25, 4 25, 4 26, 3 26, 3 25))",,,,-9,1,48.8,20,35.1,,1,Dekalb,D,,,,,800,,2390A-4,,,2190B-104  x  LDX21-234-2,"HOLL Rs2Rs3, Rhg1 88788",,,RSSS,SS,,,22
2421BD806,14,LD20-12206,PLtbl/Lbl,2421B,2421BD,806,"POLYGON ((4 25, 5 25, 5 26, 4 26, 4 25))",,,,-9,2.5,62.2,20.2,34.4,,1,Dekalb,D,,,,,800,,2321B-19,23 INC Demo,,LD16-10150(LD10-10198 x KB13-15F314-224) x LD15-5776793 (X) LD16-10150(LD10-10198 x KB13-15F314-224) x LD15-3818,"HOLL, Rhg1 88788",,,RSSSS,SS,"24 UT 2TM, MSMC",23PR INC,14
2421BD807,10,LD18-GH324-1-5,PGg,2421B,2421BD,807,"POLYGON ((2 26, 3 26, 3 27, 2 27, 2 26))",,,,-9,1.5,58,20.1,33.5,,1,Dekalb,D,,,,,800,,2321B-10,23 INC Demo,,LD10-10198(4)xKB13F3:14-228LL x LD10-10198(4)xKB12-1#70HO,"HOLL,SCN",13,29,RSS,SSS,24 MSMC,21PR INC,10
2421BD808,16,LD22-0587,PGibl,2421B,2421BD,808,"POLYGON ((3 26, 4 26, 4 27, 3 27, 3 26))",,,,-9,2,63,19.2,34.9,,1,Dekalb,D,,,,,800,,2351A-21,,,LD15-456 x E15338,Rhg1 88788,,,RSSS,SS,,,16
2421BD809,24,LD22-2020311,PLtbr,2421B,2421BD,809,"POLYGON ((4 26, 5 26, 5 27, 4 27, 4 26))",,,,-9,3.5,53.6,20.6,34.8,,1,Dekalb,D,,,,,800,,2390A-6,,,2190B-104  x  LDX21-234-2,"HOLL Rs2Rs3, Rhg1 88788",,,RSSS,SS,24 MSMC,,24
2421BD810,12,LD20-5172,PGbf,2421B,2421BD,810,"POLYGON ((2 27, 3 27, 3 28, 2 28, 2 27))",,,,-9,1.5,48.4,20,32,,1,Dekalb,D,,,,,800,,2321B-17,23 INC,,LD14-6099a x LD11-2170,Rhg1 88788,,,RSSSS,SS,"24 SU,UT 2",Illini 2427N,12
2421BD811,23,LD22-2020304,PLtbr,2421B,2421BD,811,"POLYGON ((3 27, 4 27, 4 28, 3 28, 3 27))",,,,-9,3,32.9,19.9,34.8,,1,Dekalb,D,,,,,800,,2390A-10,,,2190B-104  x  LDX21-234-2,"HOLL Rs2Rs3, Rhg1 88788",,,RSSS,SS,24 MSMC,,23
2421BD812,21,LD22-9184,PLty/br,2421B,2421BD,812,"POLYGON ((4 27, 5 27, 5 28, 4 28, 4 27))",,,,-9,2.5,57.2,18.8,34.9,,1,Dekalb,D,,,,,800,,23GS02-20,,,G151200 x LD15-5776793,Rhg1 88788,,,RSSS,SS,,,21
2421BD813,17,LD22-1274,PLtbr/bl,2421B,2421BD,813,"POLYGON ((5 27, 6 27, 6 28, 5 28, 5 27))",,,,-9,1.5,50,20.2,33.6,,1,Dekalb,D,,,,,800,,2351A-26,,,LD12-459 x LD11-2170,Rhg1 88788,,,RSSS,SS,,,17
2421BD814,3,LD10-10198,PGgr,2421B,2421BD,814,"POLYGON ((6 27, 7 27, 7 28, 6 28, 6 27))",,,,-9,1.5,62.3,19.3,34.6,,1,Dekalb,D,,,,,800,,2321B-3,23 INC Demo,,LD05-3230 x LD00-3309,SCN HR,6,61,,,,Illini 2643N,3
2421BD815,19,LD22-4118,PMbl,2421B,2421BD,815,"POLYGON ((7 27, 8 27, 8 28, 7 28, 7 27))",,,,-9,1.5,60.8,20.7,33.7,,1,Dekalb,D,,,,,800,,2351A-38,,,U14-103015 x LD15-5782791,Rhg1 88788,,,RSSS,SS,,,19
2421BD816,6,LD17-3855,PGy,2421B,2421BD,816,"POLYGON ((5 26, 6 26, 6 27, 5 27, 5 26))",,,,-9,3,55.1,19.2,33.8,,1,Dekalb,D,,,,,800,,2321B-6,23 INC Demo,,LD10-10198 x LG11-6210,SCN,4,63,RSS,SSS,,Illini 2600NY,6
2421BD817,15,LD21-3904,PLtbl/br,2421B,2421BD,817,"POLYGON ((6 26, 7 26, 7 27, 6 27, 6 26))",,,,-9,3,54.8,20.5,34.9,,1,Dekalb,D,,,,,800,,2321B-21,,,LD11-2170 x LDX18-245-2-4,"HOLL, Rhg1 88788",,,RS.S,SS,"24 PT 2TM,MSMC",,15
2421BD818,9,LD18-GH324-1-4,PGg,2421B,2421BD,818,"POLYGON ((7 26, 8 26, 8 27, 7 27, 7 26))",,,,-9,1,59.9,19.5,34.3,,1,Dekalb,D,,,,,800,,2321B-9,23 INC Demo,,LD10-10198(4)xKB13F3:14-228LL x LD10-10198(4)xKB12-1#70HO,"HOLL,SCN",24,104,RSS,SSS,24 MSMC,21PR INC,9
2421BD819,13,LD20-11062,PGy/gr,2421B,2421BD,819,"POLYGON ((5 25, 6 25, 6 26, 5 26, 5 25))",,,,-9,1.5,67.5,19.8,33.7,,1,Dekalb,D,,,,,800,,2321B-18,23 INC,,LD10-10198 x LD15-5776793,Rhg1 88788,,,RSSSS,SS,"24 SU,UT 2",Illini 2517N,13
2421BD820,20,LD22-9044a,PGy,2421B,2421BD,820,"POLYGON ((6 25, 7 25, 7 26, 6 26, 6 25))",,,,-9,1.5,66.4,20.1,34.5,,1,Dekalb,D,,,,,800,,23GS01-7,,,LD17-06574 x G151200,"Rhg1 88788, Rag1+2",,,RSSS,RR,,,20
2421BD821,18,LD22-4111,PLtbl,2421B,2421BD,821,"POLYGON ((7 25, 8 25, 8 26, 7 26, 7 25))",,,,-9,1.5,57.5,20,34.1,,1,Dekalb,D,,,,,800,,2351A-37,,,U14-103015 x LD15-5782791,Rhg1 88788,,,RSSS,SS,24 SP 2,,18
2421BD822,1,IA2102,WGy+bf,2421B,2421BD,822,"POLYGON ((5 24, 6 24, 6 25, 5 25, 5 24))",,,,-9,4,57.6,19.5,34.7,,1,Dekalb,D,,,,,800,,2321B-1,23 INC,,A04-545045 x AgriPro 98180-A01-06131,SCN R,33,73,,,"24 SU,UT 2",,1
2421BD823,11,LD19-7145,PLtbr,2421B,2421BD,823,"POLYGON ((6 24, 7 24, 7 25, 6 25, 6 24))",,,,-9,2,47.7,19.3,34.2,,1,Dekalb,D,,,,,800,,2321B-12,23 INC Demo,,LD12-459 x LD11-2170,SCN,6.892130149,87.42009257,RASS,SSS,"24 SU,UT 2",Illini 2757N,11
2421BD824,5,LD16-4766a,PGbf,2421B,2421BD,824,"POLYGON ((7 24, 8 24, 8 25, 7 25, 7 24))",,,,-9,2.5,48.5,18.6,35.9,,1,Dekalb,D,,,,,800,,2321B-5,23 INC,,AR10-205011 x LD09-30224,"SCN HR, Rag 1",9,55,RSUnSB,RS,,Secrist/Baird,5
2421BD825,5,LD16-4766a,PGbf,2421B,2421BD,825,"POLYGON ((2 28, 3 28, 3 29, 2 29, 2 28))",,,,-9,2.5,40.7,19.3,34.4,,2,Dekalb,D,,,,,800,,2321B-5,23 INC,,AR10-205011 x LD09-30224,"SCN HR, Rag 1",9,55,RSUnSB,RS,,Secrist/Baird,5
2421BD826,7,LD17-6036a,WGbf,2421B,2421BD,826,"POLYGON ((3 28, 4 28, 4 29, 3 29, 3 28))",,,,-9,2.5,51,19.6,33.1,,2,Dekalb,D,,,,,800,,2321B-7,23 INC Demo,,U11-614119 x LD14-8003,"SCN, Rag1 +2",10,68,RSS,RRS,,Illini 2681Na,7
2421BD827,12,LD20-5172,PGbf,2421B,2421BD,827,"POLYGON ((4 28, 5 28, 5 29, 4 29, 4 28))",,,,-9,1.5,45.5,19.2,33,,2,Dekalb,D,,,,,800,,2321B-17,23 INC,,LD14-6099a x LD11-2170,Rhg1 88788,,,RSSSS,SS,"24 SU,UT 2",Illini 2427N,12
2421BD828,10,LD18-GH324-1-5,PGg,2421B,2421BD,828,"POLYGON ((2 29, 3 29, 3 30, 2 30, 2 29))",,,,-9,2.5,45.8,19.9,33.5,,2,Dekalb,D,,,,,800,,2321B-10,23 INC Demo,,LD10-10198(4)xKB13F3:14-228LL x LD10-10198(4)xKB12-1#70HO,"HOLL,SCN",13,29,RSS,SSS,24 MSMC,21PR INC,10
2421BD829,2,BR22DC6,MLtbr,2421B,2421BD,829,"POLYGON ((3 29, 4 29, 4 30, 3 30, 3 29))",,,,-9,3,61.2,18.9,34.4,,2,Dekalb,D,,,,,800,,2321B-2,,,,,,,,,,,2
2421BD830,6,LD17-3855,PGy,2421B,2421BD,830,"POLYGON ((4 29, 5 29, 5 30, 4 30, 4 29))",,,,-9,4.5,45.6,19.1,34.2,,2,Dekalb,D,,,,,800,,2321B-6,23 INC Demo,,LD10-10198 x LG11-6210,SCN,4,63,RSS,SSS,,Illini 2600NY,6
2421BD831,9,LD18-GH324-1-4,PGg,2421B,2421BD,831,"POLYGON ((2 30, 3 30, 3 31, 2 31, 2 30))",,,,-9,1.5,57.2,19.9,33.6,,2,Dekalb,D,,,,,800,,2321B-9,23 INC Demo,,LD10-10198(4)xKB13F3:14-228LL x LD10-10198(4)xKB12-1#70HO,"HOLL,SCN",24,104,RSS,SSS,24 MSMC,21PR INC,9
2421BD832,21,LD22-9184,PLty/br,2421B,2421BD,832,"POLYGON ((3 30, 4 30, 4 31, 3 31, 3 30))",,,,-9,4,51.1,18.9,34.9,,2,Dekalb,D,,,,,800,,23GS02-20,,,G151200 x LD15-5776793,Rhg1 88788,,,RSSS,SS,,,21
2421BD833,8,LD18-4231,MLtbl/g,2421B,2421BD,833,"POLYGON ((4 30, 5 30, 5 31, 4 31, 4 30))",,,,-9,4.5,34.4,19.7,34,,2,Dekalb,D,,,,,800,,2321B-8,23 INC Demo,,U11-932025 x LD10-10198,SCN,SxR,74,RSS,SSS,,Illini 2586N,8
2421BD834,3,LD10-10198,PGgr,2421B,2421BD,834,"POLYGON ((2 31, 3 31, 3 32, 2 32, 2 31))",,,,-9,1.5,64.2,19.7,33.6,,2,Dekalb,D,,,,,800,,2321B-3,23 INC Demo,,LD05-3230 x LD00-3309,SCN HR,6,61,,,,Illini 2643N,3
2421BD835,13,LD20-11062,PGy/gr,2421B,2421BD,835,"POLYGON ((3 31, 4 31, 4 32, 3 32, 3 31))",,,,-9,1,63.3,20.8,32.2,,2,Dekalb,D,,,,,800,,2321B-18,23 INC,,LD10-10198 x LD15-5776793,Rhg1 88788,,,RSSSS,SS,"24 SU,UT 2",Illini 2517N,13
2421BD836,17,LD22-1274,PLtbr/bl,2421B,2421BD,836,"POLYGON ((4 31, 5 31, 5 32, 4 32, 4 31))",,,,-9,2,64.8,20.3,33.3,,2,Dekalb,D,,,,,800,,2351A-26,,,LD12-459 x LD11-2170,Rhg1 88788,,,RSSS,SS,,,17
2421BD837,19,LD22-4118,PMbl,2421B,2421BD,837,"POLYGON ((5 31, 6 31, 6 32, 5 32, 5 31))",,,,-9,1.5,64.4,19.9,34.6,,2,Dekalb,D,,,,,800,,2351A-38,,,U14-103015 x LD15-5782791,Rhg1 88788,,,RSSS,SS,,,19
2421BD838,20,LD22-9044a,PGy,2421B,2421BD,838,"POLYGON ((6 31, 7 31, 7 32, 6 32, 6 31))",,,,-9,2,63.8,20.1,34.5,,2,Dekalb,D,,,,,800,,23GS01-7,,,LD17-06574 x G151200,"Rhg1 88788, Rag1+2",,,RSSS,RR,,,20
2421BD839,24,LD22-2020311,PLtbr,2421B,2421BD,839,"POLYGON ((7 31, 8 31, 8 32, 7 32, 7 31))",,,,-9,1.5,51.4,20.2,34.7,,2,Dekalb,D,,,,,800,,2390A-6,,,2190B-104  x  LDX21-234-2,"HOLL Rs2Rs3, Rhg1 88788",,,RSSS,SS,24 MSMC,,24
2421BD840,1,IA2102,WGy+bf,2421B,2421BD,840,"POLYGON ((5 30, 6 30, 6 31, 5 31, 5 30))",,,,-9,4,59.8,19.1,35.3,,2,Dekalb,D,,,,,800,,2321B-1,23 INC,,A04-545045 x AgriPro 98180-A01-06131,SCN R,33,73,,,"24 SU,UT 2",,1
2421BD841,14,LD20-12206,PLtbl/Lbl,2421B,2421BD,841,"POLYGON ((6 30, 7 30, 7 31, 6 31, 6 30))",,,,-9,3.5,47.6,19.9,35,,2,Dekalb,D,,,,,800,,2321B-19,23 INC Demo,,LD16-10150(LD10-10198 x KB13-15F314-224) x LD15-5776793 (X) LD16-10150(LD10-10198 x KB13-15F314-224) x LD15-3818,"HOLL, Rhg1 88788",,,RSSSS,SS,"24 UT 2TM, MSMC",23PR INC,14
