QR code,ent,name,FPhilm,Trial,test,plot,geometry,FP2,Ht,Pod,Mat,Lod,Yld,oil ,protein,notes,rep,loc,locc,rng,row,run,field,Sds/env,,source,,,parents,trait,0,2.5.7,geno,"1,2,3",Reg tests,Variety,
2441ABLV819,4,LD16-2955,PLtbl,2441A,2441ABLV,819,"POLYGON ((10 17, 11 17, 11 18, 10 18, 10 17))",,,,-9,1,53.1,22.8,32.4,,1,Belleville,BLV,,,,,800,,2341A-4,23 INC Demo,,LD07-3395 x LD10-10219,SCN R,11,106,,SS,,Illini 4300N,4
2441ABLV820,11,LD21-3549,PLtbl/br,2441A,2441ABLV,820,"POLYGON ((11 17, 12 17, 12 18, 11 18, 11 17))",,,,-9,1,39.8,20.7,34.6,,1,Belleville,BLV,,,,,800,,2341A-18,,,HOLL 85- 2 x HOLL 15- 1,"HOLL, Rhg1 88788",,,RSSS,SS,"24 PT 4TM, MSMC",,11
2441ABLV821,2,P38A10,WLtbl,2441A,2441ABLV,821,"POLYGON ((2 18, 3 18, 3 19, 2 19, 2 18))",,,,-9,1,50.3,22.3,33,,1,Belleville,BLV,,,,,800,,2341A-2,,,,,,,,,,,2
2441ABLV822,18,LD22-6285,PLtbr,2441A,2441ABLV,822,"POLYGON ((3 18, 4 18, 4 19, 3 19, 3 18))",,,,-9,1,46.2,22.3,31.5,,1,Belleville,BLV,,,,,800,,23GS09-9,,,20506067GDM x LD11-2170,0,,,SSSS,SS,,,18
2441ABLV823,7,LD19-11737,PMbl,2441A,2441ABLV,823,"POLYGON ((4 18, 5 18, 5 19, 4 19, 4 18))",,,,-9,1.5,47,22,33.2,,1,Belleville,BLV,,,,,800,,2341A-8,23 INC Demo,,(LD12-1843 x LD16-10275) x (LDXGL15-008-1 x LD12-3903),"HOLL,SCN",,,RSSS,SSR,24 MSMC,22PR INC,7
2441ABLV824,23,LD22-8586,PLtbf,2441A,2441ABLV,824,"POLYGON ((5 18, 6 18, 6 19, 5 19, 5 18))",,,,-9,1.5,54.7,23,30.3,,1,Belleville,BLV,,,,,800,,2384B-23,,,LD18-12663 x 2170 HOLL (201-248),"HOLL, Rhg1 88788",,,RSSS,SS,,,23
2441ABLV825,15,LD22-5567,PLtbl,2441A,2441ABLV,825,"POLYGON ((6 18, 7 18, 7 19, 6 19, 6 18))",,,,-9,1,58.3,22,33.3,,1,Belleville,BLV,,,,,800,,2358A-26,,,LD15-456 x LD15-3818,Rhg1 88788,,,RSSS,SS,,,15
2441ABLV826,8,LD20-3559,WLtbl,2441A,2441ABLV,826,"POLYGON ((2 19, 3 19, 3 20, 2 20, 2 19))",,,,-9,1,53.4,21.5,32.7,,1,Belleville,BLV,,,,,800,,2341A-10,23 INC,,3A53861 x LD12-3903,Rhg1 88788,,,RSSSS,,24 UT IV,,8
2441ABLV827,25,LD22-8703,WLtbr,2441A,2441ABLV,827,"POLYGON ((3 19, 4 19, 4 20, 3 20, 3 19))",,,,-9,1,49.1,21.8,33.8,,1,Belleville,BLV,,,,,800,,2385A-18,,,LD18-12776 x LD18-12663,"HOLL, Rhg1 88788",,,RSSS,SS,,,25
2441ABLV828,19,LD22-6452,PTbl,2441A,2441ABLV,828,"POLYGON ((4 19, 5 19, 5 20, 4 20, 4 19))",,,,-9,1.5,49.4,21.6,33,,1,Belleville,BLV,,,,,800,,23GS10-42,,,20506067GDM x LD15-5782791,Rhg1 88788,,,HSSS,SS,,,19
